older-brother,spouse,father	ob,w,f	兄弟眷父
father,younger-brother,son,spouse,father,mother	f,lb,s,w,f,m	从父兄弟眷祖母
father,younger-brother,son,spouse,mother,father	f,lb,s,w,m,f	从父兄弟眷外祖父
father,younger-brother,son,spouse,mother,mother	f,lb,s,w,m,m	从父兄弟眷外祖母
father,younger-brother,son,spouse,older-brother	f,lb,s,w,ob	从父兄弟眷兄弟
father,younger-brother,son,spouse,younger-sister	f,lb,s,w,ls	从父兄弟眷姊妹
father,younger-brother,son,spouse,older-brother,son	f,lb,s,w,ob,s	从父兄弟眷侄男
father,younger-brother,son,spouse,younger-brother,daughter	f,lb,s,w,lb,d	从父兄弟眷侄女
father,younger-brother,son,spouse,older-sister,daughter	f,lb,s,w,os,d	从父兄弟眷甥女
father,younger-brother,son,spouse,father,father,father	f,lb,s,w,f,f,f	
father,younger-sister,son,spouse,father	f,ls,s,w,f	姑表兄弟眷父
father,younger-sister,son,spouse,mother	f,ls,s,w,m	姑表兄弟眷母
father,younger-sister,son,spouse,father,father	f,ls,s,w,f,f	姑表兄弟眷祖父
father,younger-sister,son,spouse,father,mother	f,ls,s,w,f,m	姑表兄弟眷祖母
father,younger-sister,son,spouse,mother,father	f,ls,s,w,m,f	姑表兄弟眷外祖父
father,younger-sister,son,spouse,mother,mother	f,ls,s,w,m,m	姑表兄弟眷外祖母
father,younger-sister,son,spouse,older-brother	f,ls,s,w,ob	姑表兄弟眷兄弟
father,younger-sister,son,spouse,younger-sister	f,ls,s,w,ls	姑表兄弟眷姊妹
father,younger-sister,son,spouse,older-brother,son	f,ls,s,w,ob,s	姑表兄弟眷侄男
father,younger-sister,son,spouse,younger-brother,daughter	f,ls,s,w,lb,d	姑表兄弟眷侄女
father,younger-sister,son,spouse,older-sister,daughter	f,ls,s,w,os,d	姑表兄弟眷甥女
father,younger-sister,son,spouse,father,father,father	f,ls,s,w,f,f,f	
father,mother,older-sister,son,spouse,father	f,m,os,s,w,f	从母叔眷外祖父
father,mother,older-sister,son,spouse,mother	f,m,os,s,w,m	从母叔眷外祖母
father,mother,older-sister,son,spouse,father,father	f,m,os,s,w,f,f	
father,mother,older-sister,son,spouse,father,mother	f,m,os,s,w,f,m	
father,mother,older-sister,son,spouse,mother,father	f,m,os,s,w,m,f	
father,mother,older-sister,son,spouse,mother,mother	f,m,os,s,w,m,m	
father,mother,older-sister,son,spouse,older-brother	f,m,os,s,w,ob	从母叔眷舅父
father,mother,older-sister,son,spouse,younger-sister	f,m,os,s,w,ls	从母叔眷姨母
father,mother,older-sister,son,spouse,older-brother,son	f,m,os,s,w,ob,s	从母叔眷舅表兄|从母叔眷舅表弟
father,mother,older-sister,son,spouse,younger-brother,daughter	f,m,os,s,w,lb,d	从母叔眷舅表姊|从母叔眷舅表妹
father,mother,older-sister,son,spouse,older-sister,daughter	f,m,os,s,w,os,d	从母叔眷姨表姊|从母叔眷姨表妹
father,mother,older-sister,son,spouse,father,father,father	f,m,os,s,w,f,f,f	
father,father,older-brother,son,spouse,father	f,f,ob,s,w,f	从父叔眷外祖父
