table_row_number	source_sheet_row_numbers	raw_key_set	chain_selector_set	chain_symbol_path	mumuy_primary_term_candidates	mumuy_term_set	our_official_or_fallback_male	our_daily_folk_1st_candidate_male	our_daily_folk_others_male	our_is_exact_match_male	our_official_or_fallback_female	our_daily_folk_1st_candidate_female	our_daily_folk_others_female	our_is_exact_match_female	notes	our_candidate_display	our_judgment
422	301 | 352	h,xs,d | w,xs,d	h,xs,d | w,xs,d	SP.YS.D	姑甥女 | 姨甥女	姑甥女 | 姨甥女	自己→第1代晚輩(女係女)→配偶→兄弟姐妹→子	姑甥女 | 外甥女		True	自己→第1代晚輩(子係女)→配偶→兄弟姐妹→子	姑甥女 | 外甥女		True		姑甥女	一致
423	299 | 350	h,xs,s | w,xs,s	h,xs,s | w,xs,s	SP.YS.S	姑甥 | 姨甥	姑甥 | 姨甥	自己→第1代晚輩(女係男)→配偶→兄弟姐妹→子	姑甥 | 外甥		True	自己→第1代晚輩(子係男)→配偶→兄弟姐妹→子	姑甥 | 外甥		True		姑甥	一致
424	293 | 297 | 344 | 348	h,ls,h | h,xs,h | w,ls,h | w,xs,h	h,ls,h | h,xs,h | w,ls,h | w,xs,h	SP.YS.SP	小姑夫 | 姑夫 | 小姨夫 | 连襟	小姑夫 | 小姑妹夫 | 小亘子 | 婆妹夫 | 婆婆妹夫 | 姑夫 | 姑郎 | 小姨夫 | 小姨妹夫 | 姨妹夫 | 小茙夫 | 襟弟 | 小尹子 | 连襟 | 姨夫 | 连桥 | 两桥 | 两乔 | 姨夫爷 | 老襟 | 一担挑 | 老挑 | 挑担 | 担儿挑 | 连襟儿 | 襟兄弟 | 友婿 | 妻尹 | 娅	自己→配偶→妹→配偶	襟弟 | 連襟|妹夫|老襟|一擔挑|老挑|挑擔|擔兒挑|連襟兒|連橋|兩橋|友婿|婭		True	自己→配偶→妹→配偶	妹夫 | 妹丈|妹婿		True		男：襟弟；女：妹夫	已收編：男：襟弟；女：妹夫
425	357	lb	lb	YB	弟弟	弟弟 | 弟 | 胞弟 | 亲弟 | 弟亲 | 老弟 | 依弟 | 阿弟 | 弟子 | 细佬 | 小弟 | 几弟	弟弟	弟弟 | 弟|親弟|老弟|小弟|依弟|阿弟|細佬|胞弟		True	弟弟	弟弟 | 弟|親弟|老弟|小弟|依弟|阿弟|細佬|胞弟		True		弟弟	一致
426	360 | 366	lb,d | xb,d	lb,d | xb,d	YB.D	侄女	侄女 | 弟女 | 侄囡 | 侄女儿 | 侄丫头 | 侄闺女	自己→第1代晚輩(子係女)→兄弟→子	姪女 | 姪女兒|姪丫頭|姪閨女|姪囡|兄女		True	自己→第1代晚輩(子係女)→兄弟→子	姪女 | 姪女兒|姪丫頭|姪閨女|姪囡|兄女		True		姪女	一致
427	368	xb,d,h	xb,d,h	YB.D.SP	侄女婿	侄女婿 | 侄婿 | 侄郎	自己→第1代晚輩(子係男)→兄弟→子	姪女婿 | 姪婿		True	自己→第1代晚輩(子係男)→兄弟→子	姪女婿 | 姪婿		True		姪女婿	一致
428	359 | 362	lb,s | xb,s	lb,s | xb,s	YB.S	侄子	侄子 | 弟子 | 侄男 | 侄儿子 | 侄小子 | 嫡侄 | 亲侄 | 侄儿 | 侄仔 | 阿侄 | 老侄 | 侄	自己→第1代晚輩(子係男)→兄弟→子	姪子 | 親姪|姪兒|姪|姪小子|老姪|姪仔|阿姪|兄子|姪男|嫡姪		True	自己→第1代晚輩(子係男)→兄弟→子	姪子 | 親姪|姪兒|姪|姪小子|老姪|姪仔|阿姪|兄子|姪男|嫡姪		True		姪子	一致
429	364	xb,s,w	xb,s,w	YB.S.SP	侄媳妇	侄媳妇 | 侄媳 | 侄嫂 | 侄妇	自己→第1代晚輩(子係女)→兄弟→子	姪媳婦 | 姪媳|姪婦		True	自己→第1代晚輩(子係女)→兄弟→子	姪媳婦 | 姪媳|姪婦		True		姪媳婦	一致
430	358	lb,w	lb,w	YB.SP	弟妹	弟妹 | 弟媳 | 弟媳妇 | 弟媳妇子 | 弟新妇 | 老弟嫂	自己→弟→配偶	弟媳 | 弟妹|弟媳婦|弟新婦|弟媳婦子		True	自己→弟→配偶	弟媳 | 弟妹|弟媳婦|弟新婦|弟媳婦子		True		弟媳	一致
431	371	ls	ls	YS	妹妹	妹妹 | 妹 | 胞妹 | 亲妹 | 妹亲 | 老妹 | 依妹 | 阿妹 | 妹子 | 小妹 | 妹儿 | 几妹	妹妹	妹妹 | 妹|親妹|老妹|小妹|阿妹|依妹|妹子|妹兒|胞妹		True	妹妹	妹妹 | 妹|親妹|老妹|小妹|阿妹|依妹|妹子|妹兒|胞妹		True		妹妹	一致
432	382	xs,d	xs,d	YS.D	外甥女	外甥女 | 甥女 | 甥囡 | 甥女儿 | 甥闺女	自己→第1代晚輩(女係女)→姐妹→子	外甥女 | 甥女兒|甥閨女|甥囡|甥女		True	自己→第1代晚輩(女係女)→姐妹→子	外甥女 | 甥女兒|甥閨女|甥囡|甥女		True		外甥女	一致
433	384	xs,d,h	xs,d,h	YS.D.SP	甥女婿	甥女婿 | 甥婿 | 甥郎 | 甥儿息婿儿	自己→第1代晚輩(女係男)→姐妹→子	外甥婿 | 甥女婿|甥婿		True	自己→第1代晚輩(女係男)→姐妹→子	外甥婿 | 甥女婿|甥婿		True		外甥婿	可接受簡寫：外甥婿
434	374	xs,s	xs,s	YS.S	外甥	外甥 | 甥子 | 甥男 | 甥儿 | 甥儿子 | 甥仔 | 甥	自己→第1代晚輩(女係男)→姐妹→子	外甥 | 甥兒|甥仔|甥子|甥男|甥		True	自己→第1代晚輩(女係男)→姐妹→子	外甥 | 甥兒|甥仔|甥子|甥男|甥		True		外甥	一致
435	380	xs,s,d	xs,s,d	YS.S.D	甥孙女	甥孙女 | 远甥女 | 弥甥女	自己→第2代晚輩(女係女)→姐妹→第2代晚輩	外甥孫女 | 甥孫女|遠甥女|彌甥女		True	自己→第2代晚輩(女係女)→姐妹→第2代晚輩	外甥孫女 | 甥孫女|遠甥女|彌甥女		True		外甥孫女	可接受簡寫：外甥孫女
436	378	xs,s,s	xs,s,s	YS.S.S	甥孙	甥孙 | 远甥 | 弥甥	自己→第2代晚輩(女係男)→姐妹→第2代晚輩	外甥孫 | 甥孫|遠甥|彌甥		True	自己→第2代晚輩(女係男)→姐妹→第2代晚輩	外甥孫 | 甥孫|遠甥|彌甥		True		外甥孫	可接受簡寫：外甥孫
437	376	xs,s,w	xs,s,w	YS.S.SP	甥媳妇	甥媳妇 | 甥媳 | 甥嫂 | 甥妇 | 甥儿息妇儿	自己→第1代晚輩(女係女)→姐妹→子	外甥媳 | 甥媳婦|甥媳|甥婦		True	自己→第1代晚輩(女係女)→姐妹→子	外甥媳 | 甥媳婦|甥媳|甥婦		True		外甥媳	可接受簡寫：外甥媳
438	372	ls,h	ls,h	YS.SP	妹夫	妹夫 | 妹丈 | 妹婿 | 妹郎 | 妹弟 | 妹夫子 | 胞妹夫	自己→妹→配偶	妹夫 | 妹丈|妹婿		True	自己→妹→配偶	妹夫 | 妹丈|妹婿		True		妹夫	一致
