table_row_number	source_sheet_row_numbers	raw_key_set	chain_selector_set	chain_symbol_path	mumuy_primary_term_candidates	mumuy_term_set	our_official_or_fallback_male	our_daily_folk_1st_candidate_male	our_daily_folk_others_male	our_is_exact_match_male	our_official_or_fallback_female	our_daily_folk_1st_candidate_female	our_daily_folk_others_female	our_is_exact_match_female	notes	our_candidate_display	our_judgment
48	520	d,h,xs,d	d,h,xs,d	D.SP.YS.D	姻侄外孙女	姻侄外孙女	自己→女兒→配偶→夫側姑表妹	女兒姻姑表妹		True	自己→女兒→配偶→夫側姑表妹	女兒姻姑表妹		True		女兒姻姑表妹	已收編：女兒姻姑表妹
49	518	d,h,xs,s	d,h,xs,s	D.SP.YS.S	姻侄外孙	姻侄外孙	自己→女兒→配偶→夫側姑表弟	女兒姻姑表弟		True	自己→女兒→配偶→夫側姑表弟	女兒姻姑表弟		True		女兒姻姑表弟	已收編：女兒姻姑表弟
50	516	d,h,xs,h	d,h,xs,h	D.SP.YS.SP	姻侄婿	姻侄婿	自己→女兒→配偶→夫側姪婿	女兒姻姪婿		True	自己→女兒→配偶→夫側姪婿	女兒姻姪婿		True		女兒姻姪婿	已收編：女兒姻姪婿
51	83	f	f	F	爸爸	爸爸 | 父亲 | 老父亲 | 老爸 | 阿爸 | 阿父 | 阿爹 | 老窦 | 爹地 | 依爹 | 老爹 | 老汉 | 老爷子 | 老子 | 牙老子 | 爸 | 父 | 爹 | 老汉儿 | 牙老倌 | 爸比 | 爹爹 | 爹啲 | 一世祖	父親	父親 | 爸爸|老爸|老父親|爸|爹爹|爹|老爹|老爺子|阿爸|依爹|老漢|老漢兒|阿爹|老竇|爹地|阿父|父		True	父親	父親 | 爸爸|老爸|老父親|爸|爹爹|爹|老爹|老爺子|阿爸|依爹|老漢|老漢兒|阿爹|老竇|爹地|阿父|父		True		父親	一致
52	43	f,f	f,f	F.F	爷爷	爷爷 | 祖父 | 祖公 | 阿爷 | 阿公 | 奶爹 | 亚爷 | 亚公 | 依爷 | 大父 | 祖翁 | 嗲嗲 | 爷 | 祖君 | 奶爷 | 爷儿 | 爷老 | 爷老子 | 爷老倌 | 二世祖	自己→第2代祖輩(父系男)	祖父 | 爺爺|爺|阿公|祖公|阿爺|依爺|嗲嗲|亞爺|亞公|大父|祖翁		True	自己→第2代祖輩(父系男)	祖父 | 爺爺|爺|阿公|祖公|阿爺|依爺|嗲嗲|亞爺|亞公|大父|祖翁		True		祖父	一致
53	35	f,f,f	f,f,f	F.F.F	曾祖父	曾祖父 | 曾祖 | 外曾外毑父 | 太公 | 太爷 | 老太爷 | 太翁 | 太爷爷 | 曾爷爷 | 公太 | 佬嗲 | 祖爷 | 三世祖	自己→第3代祖輩(父系男)	曾祖父 | 太爺爺|太爺|老太爺|曾爺爺|太公|佬嗲|公太|曾祖|太翁		True	自己→第3代祖輩(父系男)	曾祖父 | 太爺爺|太爺|老太爺|曾爺爺|太公|佬嗲|公太|曾祖|太翁		True		曾祖父	一致
54	19	f,f,f,f	f,f,f,f	F.F.F.F	高祖父	高祖父 | 外曾外曾外毑父 | 曾曾祖父 | 祖太公 | 祖太爷 | 高太爷 | 祖太翁 | 祖太爷爷 | 四世祖	自己→第4代祖輩(父系男)	高祖父 | 祖太爺|祖太公|曾曾祖父		True	自己→第4代祖輩(父系男)	高祖父 | 祖太爺|祖太公|曾曾祖父		True		高祖父	一致
55	17	f,f,f,f,f	f,f,f,f,f	F.F.F.F.F	天祖父	天祖父 | 天太爷 | 五世祖	自己→第5代祖輩(父系男)	天祖父		True	自己→第5代祖輩(父系男)	天祖父		True		天祖父	一致
56	15	f,f,f,f,f,f	f,f,f,f,f,f	F.F.F.F.F.F	烈祖父	烈祖父 | 烈太爷 | 六世祖	自己→第6代祖輩(父系男)	烈祖父		True	自己→第6代祖輩(父系男)	烈祖父		True		烈祖父	一致
57	13	f,f,f,f,f,f,f	f,f,f,f,f,f,f	F.F.F.F.F.F.F	太祖父	太祖父 | 太太爷 | 七世祖	自己→第7代祖輩(父系男)	太祖父		True	自己→第7代祖輩(父系男)	太祖父		True		太祖父	一致
58	11	f,f,f,f,f,f,f,f	f,f,f,f,f,f,f,f	F.F.F.F.F.F.F.F	远祖父	远祖父 | 远太爷 | 八世祖	自己→第8代祖輩(父系男)	遠祖父		True	自己→第8代祖輩(父系男)	遠祖父		True		遠祖父	一致
59	9	f,f,f,f,f,f,f,f,f	f,f,f,f,f,f,f,f,f	F.F.F.F.F.F.F.F.F	鼻祖父	鼻祖父 | 鼻太爷 | 九世祖	自己→第9代祖輩(父系男)	鼻祖父		True	自己→第9代祖輩(父系男)	鼻祖父		True		鼻祖父	一致
60	7	f,f,f,f,f,f,f,f,f,f	f,f,f,f,f,f,f,f,f,f	F.F.F.F.F.F.F.F.F.F	开祖父	开祖父 | 开太爷 | 十世祖	自己→第10代祖輩(父系男)	開祖父		True	自己→第10代祖輩(父系男)	開祖父		True		開祖父	一致
61	5	f,f,f,f,f,f,f,f,f,f,f	f,f,f,f,f,f,f,f,f,f,f	F.F.F.F.F.F.F.F.F.F.F	始祖父	始祖父 | 始太爷 | 十一世祖	自己→第11代祖輩(父系男)	始祖父		True	自己→第11代祖輩(父系男)	始祖父		True		始祖父	一致
62	3	f,f,f,f,f,f,f,f,f,f,f,f	f,f,f,f,f,f,f,f,f,f,f,f	F.F.F.F.F.F.F.F.F.F.F.F	先祖父	先祖父 | 先太爷 | 十二世祖	自己→第12代祖輩(父系男)	先祖父		True	自己→第12代祖輩(父系男)	先祖父		True		先祖父	一致
63	4	f,f,f,f,f,f,f,f,f,f,f,m	f,f,f,f,f,f,f,f,f,f,f,m	F.F.F.F.F.F.F.F.F.F.F.M	先祖母	先祖母 | 先太奶	自己→第12代祖輩(父系女)	先祖母		True	自己→第12代祖輩(父系女)	先祖母		True		先祖母	一致
64	6	f,f,f,f,f,f,f,f,f,f,m	f,f,f,f,f,f,f,f,f,f,m	F.F.F.F.F.F.F.F.F.F.M	始祖母	始祖母 | 始太奶	自己→第11代祖輩(父系女)	始祖母		True	自己→第11代祖輩(父系女)	始祖母		True		始祖母	一致
65	8	f,f,f,f,f,f,f,f,f,m	f,f,f,f,f,f,f,f,f,m	F.F.F.F.F.F.F.F.F.M	开祖母	开祖母 | 开太奶	自己→第10代祖輩(父系女)	開祖母		True	自己→第10代祖輩(父系女)	開祖母		True		開祖母	一致
66	10	f,f,f,f,f,f,f,f,m	f,f,f,f,f,f,f,f,m	F.F.F.F.F.F.F.F.M	鼻祖母	鼻祖母 | 鼻太奶	自己→第9代祖輩(父系女)	鼻祖母		True	自己→第9代祖輩(父系女)	鼻祖母		True		鼻祖母	一致
67	12	f,f,f,f,f,f,f,m	f,f,f,f,f,f,f,m	F.F.F.F.F.F.F.M	远祖母	远祖母 | 远太奶	自己→第8代祖輩(父系女)	遠祖母		True	自己→第8代祖輩(父系女)	遠祖母		True		遠祖母	一致
68	14	f,f,f,f,f,f,m	f,f,f,f,f,f,m	F.F.F.F.F.F.M	太祖母	太祖母 | 太太奶	自己→第7代祖輩(父系女)	太祖母		True	自己→第7代祖輩(父系女)	太祖母		True		太祖母	一致
69	16	f,f,f,f,f,m	f,f,f,f,f,m	F.F.F.F.F.M	烈祖母	烈祖母 | 烈太奶	自己→第6代祖輩(父系女)	烈祖母		True	自己→第6代祖輩(父系女)	烈祖母		True		烈祖母	一致
70	18	f,f,f,f,m	f,f,f,f,m	F.F.F.F.M	天祖母	天祖母 | 天太奶	自己→第5代祖輩(父系女)	天祖母		True	自己→第5代祖輩(父系女)	天祖母		True		天祖母	一致
71	194	f,f,f,f,xb	f,f,f,f,xb	F.F.F.F.OB	伯叔高祖父	伯叔高祖父	自己→第4代祖輩(父系入線)→兄弟姐妹(男)	伯高祖父		True	自己→第4代祖輩(父系入線)→兄弟姐妹(男)	伯高祖父		True		伯高祖父	一致
72	198	f,f,f,f,xb,s	f,f,f,f,xb,s	F.F.F.F.OB.S	堂伯叔曾祖父	堂伯叔曾祖父	自己→第4代祖輩(父系)分支→第3代長輩	堂伯曾祖父		True	自己→第4代祖輩(父系)分支→第3代長輩	堂伯曾祖父		True		堂伯曾祖父	一致
73	202	f,f,f,f,xb,s,s	f,f,f,f,xb,s,s	F.F.F.F.OB.S.S	从伯叔祖父	从伯叔祖父	自己→第4代祖輩(父系)分支→第2代長輩	從伯祖父		True	自己→第4代祖輩(父系)分支→第2代長輩	從伯祖父		True		從伯祖父	一致
74	206 | 210 | 214	f,f,f,f,xb,s,s,s&o | f,f,f,f,xb,s,s,s&l | f,f,f,f,xb,s,s,s	f,f,f,f,xb,s,s,s	F.F.F.F.OB.S.S.S	族伯父 | 族叔父 | 族伯叔父	族伯父 | 族叔父 | 族伯叔父 | 三从父 | 族父	自己→第4代祖輩(父系)分支→第1代長輩	族伯		True	自己→第4代祖輩(父系)分支→第1代長輩	族伯		True		族伯	可接受簡寫：族伯
75	208 | 212 | 216	f,f,f,f,xb,s,s,s&o,w | f,f,f,f,xb,s,s,s&l,w | f,f,f,f,xb,s,s,s,w	f,f,f,f,xb,s,s,s,w	F.F.F.F.OB.S.S.S.SP	族伯母 | 族叔母 | 族伯叔母	族伯母 | 族叔母 | 族伯叔母 | 三从母 | 族母	自己→第4代祖輩(父系)分支→第1代長輩→配偶	族伯母		True	自己→第4代祖輩(父系)分支→第1代長輩→配偶	族伯母		True		族伯母	一致
76	204	f,f,f,f,xb,s,s,w	f,f,f,f,xb,s,s,w	F.F.F.F.OB.S.S.SP	从伯叔祖母	从伯叔祖母	自己→第4代祖輩(父系)分支→第2代長輩→配偶	從伯祖母		True	自己→第4代祖輩(父系)分支→第2代長輩→配偶	從伯祖母		True		從伯祖母	一致
77	200	f,f,f,f,xb,s,w	f,f,f,f,xb,s,w	F.F.F.F.OB.S.SP	堂伯叔曾祖母	堂伯叔曾祖母	自己→第4代祖輩(父系)分支→第3代長輩→配偶	堂伯曾祖母		True	自己→第4代祖輩(父系)分支→第3代長輩→配偶	堂伯曾祖母		True		堂伯曾祖母	一致
78	196	f,f,f,f,xb,w	f,f,f,f,xb,w	F.F.F.F.OB.SP	伯叔高祖母	伯叔高祖母	自己→第4代祖輩(父系入線)→兄弟姐妹(女)→配偶	伯高祖母		True	自己→第4代祖輩(父系入線)→兄弟姐妹(女)→配偶	伯高祖母		True		伯高祖母	一致
79	195	f,f,f,f,xb	f,f,f,f,xb	F.F.F.F.YB	伯叔高祖父	伯叔高祖父	自己→第4代祖輩(父系入線)→兄弟姐妹(男)	叔高祖父		True	自己→第4代祖輩(父系入線)→兄弟姐妹(男)	叔高祖父		True		叔高祖父	一致
80	199	f,f,f,f,xb,s	f,f,f,f,xb,s	F.F.F.F.YB.S	堂伯叔曾祖父	堂伯叔曾祖父	自己→第4代祖輩(父系)分支→第3代長輩	堂叔曾祖父		True	自己→第4代祖輩(父系)分支→第3代長輩	堂叔曾祖父		True		堂叔曾祖父	一致
81	203	f,f,f,f,xb,s,s	f,f,f,f,xb,s,s	F.F.F.F.YB.S.S	从伯叔祖父	从伯叔祖父	自己→第4代祖輩(父系)分支→第2代長輩	從叔祖父		True	自己→第4代祖輩(父系)分支→第2代長輩	從叔祖父		True		從叔祖父	一致
82	207 | 211 | 215	f,f,f,f,xb,s,s,s&o | f,f,f,f,xb,s,s,s&l | f,f,f,f,xb,s,s,s	f,f,f,f,xb,s,s,s	F.F.F.F.YB.S.S.S	族伯父 | 族叔父 | 族伯叔父	族伯父 | 族叔父 | 族伯叔父 | 三从父 | 族父	自己→第4代祖輩(父系)分支→第1代長輩	族叔		True	自己→第4代祖輩(父系)分支→第1代長輩	族叔		True		族叔	可接受簡寫：族叔
83	209 | 213 | 217	f,f,f,f,xb,s,s,s&o,w | f,f,f,f,xb,s,s,s&l,w | f,f,f,f,xb,s,s,s,w	f,f,f,f,xb,s,s,s,w	F.F.F.F.YB.S.S.S.SP	族伯母 | 族叔母 | 族伯叔母	族伯母 | 族叔母 | 族伯叔母 | 三从母 | 族母	自己→第4代祖輩(父系)分支→第1代長輩→配偶	族嬸		True	自己→第4代祖輩(父系)分支→第1代長輩→配偶	族嬸		True		族嬸	可接受簡寫：族嬸
84	205	f,f,f,f,xb,s,s,w	f,f,f,f,xb,s,s,w	F.F.F.F.YB.S.S.SP	从伯叔祖母	从伯叔祖母	自己→第4代祖輩(父系)分支→第2代長輩→配偶	從叔祖母		True	自己→第4代祖輩(父系)分支→第2代長輩→配偶	從叔祖母		True		從叔祖母	一致
85	201	f,f,f,f,xb,s,w	f,f,f,f,xb,s,w	F.F.F.F.YB.S.SP	堂伯叔曾祖母	堂伯叔曾祖母	自己→第4代祖輩(父系)分支→第3代長輩→配偶	堂叔曾祖母		True	自己→第4代祖輩(父系)分支→第3代長輩→配偶	堂叔曾祖母		True		堂叔曾祖母	一致
86	197	f,f,f,f,xb,w	f,f,f,f,xb,w	F.F.F.F.YB.SP	伯叔高祖母	伯叔高祖母	自己→第4代祖輩(父系入線)→兄弟姐妹(女)→配偶	叔高祖母		True	自己→第4代祖輩(父系入線)→兄弟姐妹(女)→配偶	叔高祖母		True		叔高祖母	一致
87	20	f,f,f,m	f,f,f,m	F.F.F.M	高祖母	高祖母 | 外曾外曾外毑母 | 曾曾祖母 | 祖太婆 | 祖太奶 | 高太奶 | 祖太姆 | 祖太奶奶	自己→第4代祖輩(父系女)	高祖母 | 祖太奶|祖太婆|曾曾祖母		True	自己→第4代祖輩(父系女)	高祖母 | 祖太奶|祖太婆|曾曾祖母		True		高祖母	一致
88	162	f,f,f,xb	f,f,f,xb	F.F.F.OB	伯叔曾祖父	伯叔曾祖父	自己→第3代祖輩(父系入線)→兄弟姐妹(男)	伯曾祖父 | 太公		True	自己→第3代祖輩(父系入線)→兄弟姐妹(男)	伯曾祖父 | 太公		True		伯曾祖父	一致
89	166	f,f,f,xb,s	f,f,f,xb,s	F.F.F.OB.S	堂伯叔祖父	堂伯叔祖父	自己→第3代祖輩(父系)分支→第2代長輩	堂伯祖父		True	自己→第3代祖輩(父系)分支→第2代長輩	堂伯祖父		True		堂伯祖父	一致
90	170 | 174 | 178	f,f,f,xb,s,s&o | f,f,f,xb,s,s&l | f,f,f,xb,s,s	f,f,f,xb,s,s	F.F.F.OB.S.S	从伯父 | 从叔父 | 从伯叔父	从伯父 | 从叔父 | 从伯叔父 | 再从父	自己→第3代祖輩(父系)分支→第1代長輩	從伯 | 從伯父|再從父		True	自己→第3代祖輩(父系)分支→第1代長輩	從伯 | 從伯父|再從父		True		從伯	可接受簡寫：從伯
91	182 | 184	f,f,f,xb,s,s,s&o | f,f,f,xb,s,s,s&l	f,f,f,xb,s,s,s	F.F.F.OB.S.S.S	族兄 | 族弟	族兄 | 族弟	自己→旁系同輩(分家於第3代)	族兄		True	自己→旁系同輩(分家於第3代)	族兄		True		族兄	一致
92	186	f,f,f,xb,s,s,s,s	f,f,f,xb,s,s,s,s	F.F.F.OB.S.S.S.S	族侄	族侄 | 四从子 | 族子	自己→旁系(分家於第3代)→第1代晚輩	族姪子		True	自己→旁系(分家於第3代)→第1代晚輩	族姪子		True		族姪子	可接受簡寫：族姪子
93	188	f,f,f,xb,s,s,s,s,s	f,f,f,xb,s,s,s,s,s	F.F.F.OB.S.S.S.S.S	族侄孙	族侄孙 | 四从孙 | 族孙	自己→旁系(分家於第3代)→第2代晚輩	族姪孫子		True	自己→旁系(分家於第3代)→第2代晚輩	族姪孫子		True		族姪孫子	可接受簡寫：族姪孫子
94	190	f,f,f,xb,s,s,s,s,s,s	f,f,f,xb,s,s,s,s,s,s	F.F.F.OB.S.S.S.S.S.S	族侄曾孙	族侄曾孙 | 四曾孙 | 族曾孙	自己→旁系(分家於第3代)→第3代晚輩	族姪曾孫子		True	自己→旁系(分家於第3代)→第3代晚輩	族姪曾孫子		True		族姪曾孫子	可接受簡寫：族姪曾孫子
95	192	f,f,f,xb,s,s,s,s,s,s,s	f,f,f,xb,s,s,s,s,s,s,s	F.F.F.OB.S.S.S.S.S.S.S	族侄玄孙	族侄玄孙 | 四玄孙 | 族玄孙	自己→旁系(分家於第3代)→第4代晚輩	族姪玄孫子		True	自己→旁系(分家於第3代)→第4代晚輩	族姪玄孫子		True		族姪玄孫子	可接受簡寫：族姪玄孫子
96	172 | 176 | 180	f,f,f,xb,s,s&o,w | f,f,f,xb,s,s&l,w | f,f,f,xb,s,s,w	f,f,f,xb,s,s,w	F.F.F.OB.S.S.SP	从伯母 | 从叔母 | 从伯叔母	从伯母 | 从叔母 | 从伯叔母 | 再从母	自己→第3代祖輩(父系)分支→第1代長輩→配偶	從伯母 | 再從母		True	自己→第3代祖輩(父系)分支→第1代長輩→配偶	從伯母 | 再從母		True		從伯母	一致
97	168	f,f,f,xb,s,w	f,f,f,xb,s,w	F.F.F.OB.S.SP	堂伯叔祖母	堂伯叔祖母	自己→第3代祖輩(父系)分支→第2代長輩→配偶	堂伯祖母		True	自己→第3代祖輩(父系)分支→第2代長輩→配偶	堂伯祖母		True		堂伯祖母	一致
98	164	f,f,f,xb,w	f,f,f,xb,w	F.F.F.OB.SP	伯叔曾祖母	伯叔曾祖母	自己→第3代祖輩(父系入線)→兄弟姐妹(女)→配偶	伯曾祖母 | 太婆		True	自己→第3代祖輩(父系入線)→兄弟姐妹(女)→配偶	伯曾祖母 | 太婆		True		伯曾祖母	一致
99	163	f,f,f,xb	f,f,f,xb	F.F.F.YB	伯叔曾祖父	伯叔曾祖父	自己→第3代祖輩(父系入線)→兄弟姐妹(男)	叔曾祖父 | 太公		True	自己→第3代祖輩(父系入線)→兄弟姐妹(男)	叔曾祖父 | 太公		True		叔曾祖父	一致
100	167	f,f,f,xb,s	f,f,f,xb,s	F.F.F.YB.S	堂伯叔祖父	堂伯叔祖父	自己→第3代祖輩(父系)分支→第2代長輩	堂叔祖父		True	自己→第3代祖輩(父系)分支→第2代長輩	堂叔祖父		True		堂叔祖父	一致
101	171 | 175 | 179	f,f,f,xb,s,s&o | f,f,f,xb,s,s&l | f,f,f,xb,s,s	f,f,f,xb,s,s	F.F.F.YB.S.S	从伯父 | 从叔父 | 从伯叔父	从伯父 | 从叔父 | 从伯叔父 | 再从父	自己→第3代祖輩(父系)分支→第1代長輩	從叔 | 從叔父|再從父		True	自己→第3代祖輩(父系)分支→第1代長輩	從叔 | 從叔父|再從父		True		從叔	可接受簡寫：從叔
102	183 | 185	f,f,f,xb,s,s,s&o | f,f,f,xb,s,s,s&l	f,f,f,xb,s,s,s	F.F.F.YB.S.S.S	族兄 | 族弟	族兄 | 族弟	自己→旁系同輩(分家於第3代)	族弟		True	自己→旁系同輩(分家於第3代)	族弟		True		族弟	一致
103	187	f,f,f,xb,s,s,s,s	f,f,f,xb,s,s,s,s	F.F.F.YB.S.S.S.S	族侄	族侄 | 四从子 | 族子	自己→旁系(分家於第3代)→第1代晚輩	族姪子		True	自己→旁系(分家於第3代)→第1代晚輩	族姪子		True		族姪子	可接受簡寫：族姪子
104	189	f,f,f,xb,s,s,s,s,s	f,f,f,xb,s,s,s,s,s	F.F.F.YB.S.S.S.S.S	族侄孙	族侄孙 | 四从孙 | 族孙	自己→旁系(分家於第3代)→第2代晚輩	族姪孫子		True	自己→旁系(分家於第3代)→第2代晚輩	族姪孫子		True		族姪孫子	可接受簡寫：族姪孫子
105	191	f,f,f,xb,s,s,s,s,s,s	f,f,f,xb,s,s,s,s,s,s	F.F.F.YB.S.S.S.S.S.S	族侄曾孙	族侄曾孙 | 四曾孙 | 族曾孙	自己→旁系(分家於第3代)→第3代晚輩	族姪曾孫子		True	自己→旁系(分家於第3代)→第3代晚輩	族姪曾孫子		True		族姪曾孫子	可接受簡寫：族姪曾孫子
106	193	f,f,f,xb,s,s,s,s,s,s,s	f,f,f,xb,s,s,s,s,s,s,s	F.F.F.YB.S.S.S.S.S.S.S	族侄玄孙	族侄玄孙 | 四玄孙 | 族玄孙	自己→旁系(分家於第3代)→第4代晚輩	族姪玄孫子		True	自己→旁系(分家於第3代)→第4代晚輩	族姪玄孫子		True		族姪玄孫子	可接受簡寫：族姪玄孫子
107	173 | 177 | 181	f,f,f,xb,s,s&o,w | f,f,f,xb,s,s&l,w | f,f,f,xb,s,s,w	f,f,f,xb,s,s,w	F.F.F.YB.S.S.SP	从伯母 | 从叔母 | 从伯叔母	从伯母 | 从叔母 | 从伯叔母 | 再从母	自己→第3代祖輩(父系)分支→第1代長輩→配偶	從嬸 | 再從母		True	自己→第3代祖輩(父系)分支→第1代長輩→配偶	從嬸 | 再從母		True		從嬸	可接受簡寫：從嬸
108	169	f,f,f,xb,s,w	f,f,f,xb,s,w	F.F.F.YB.S.SP	堂伯叔祖母	堂伯叔祖母	自己→第3代祖輩(父系)分支→第2代長輩→配偶	堂叔祖母		True	自己→第3代祖輩(父系)分支→第2代長輩→配偶	堂叔祖母		True		堂叔祖母	一致
109	165	f,f,f,xb,w	f,f,f,xb,w	F.F.F.YB.SP	伯叔曾祖母	伯叔曾祖母	自己→第3代祖輩(父系入線)→兄弟姐妹(女)→配偶	叔曾祖母 | 太婆		True	自己→第3代祖輩(父系入線)→兄弟姐妹(女)→配偶	叔曾祖母 | 太婆		True		叔曾祖母	一致
110	36	f,f,m	f,f,m	F.F.M	曾祖母	曾祖母 | 外曾外毑母 | 太婆 | 太奶 | 老太奶 | 太嬷 | 太姆 | 太奶奶 | 曾奶奶 | 婆太 | 老娭毑	自己→第3代祖輩(父系女)	曾祖母 | 太奶奶|太奶|老太奶|曾奶奶|太婆|太嬤|太姆|老娭毑|婆太		True	自己→第3代祖輩(父系女)	曾祖母 | 太奶奶|太奶|老太奶|曾奶奶|太婆|太嬤|太姆|老娭毑|婆太		True		曾祖母	一致
111	21	f,f,m,f	f,f,m,f	F.F.M.F	高外祖父	高外祖父 | 外曾外曾毑父 | 高外翁	自己→第4代祖輩(父系男)	高外祖父		True	自己→第4代祖輩(父系男)	高外祖父		True		高外祖父	一致
112	22	f,f,m,m	f,f,m,m	F.F.M.M	高外祖母	高外祖母 | 外曾外曾毑母 | 高外婆	自己→第4代祖輩(父系女)	高外祖母 | 高外婆		True	自己→第4代祖輩(父系女)	高外祖母 | 高外婆		True		高外祖母	一致
113	47	f,f,ob	f,f,ob	F.F.OB	伯公	伯公 | 伯祖 | 伯翁 | 大爷爷 | 大嗲 | 大爷 | 大公 | 大阿爷	自己→第2代祖輩(父系入線)→兄弟姐妹(男)	伯祖父 | 大爺爺|伯公|大伯公|大阿爺|大嗲|大公|伯祖|伯翁		True	自己→第2代祖輩(父系入線)→兄弟姐妹(男)	伯祖父 | 大爺爺|伯公|大伯公|大阿爺|大嗲|大公|伯祖|伯翁		True		伯祖父	可接受簡寫：伯祖父
114	158	f,f,xb,d	f,f,xb,d	F.F.OB.D	堂姑	堂姑	自己→第2代祖輩(父系)分支→第1代長輩	堂姑		True	自己→第2代祖輩(父系)分支→第1代長輩	堂姑		True		堂姑	一致
115	160	f,f,xb,d,h	f,f,xb,d,h	F.F.OB.D.SP	堂姑丈	堂姑丈	自己→第2代祖輩(父系)分支→第1代長輩→配偶	堂姑丈		True	自己→第2代祖輩(父系)分支→第1代長輩→配偶	堂姑丈		True		堂姑丈	一致
116	134 | 138 | 142	f,f,xb,s&o | f,f,xb,s&l | f,f,xb,s	f,f,xb,s	F.F.OB.S	堂伯 | 堂叔 | 堂伯叔父	堂伯 | 堂叔 | 堂伯叔父 | 堂叔伯 | 从父	自己→第2代祖輩(父系)分支→第1代長輩	堂伯 | 從父		True	自己→第2代祖輩(父系)分支→第1代長輩	堂伯 | 從父		True		堂伯	一致
117	146 | 148	f,f,xb,s,s&o | f,f,xb,s,s&l	f,f,xb,s,s	F.F.OB.S.S	从堂兄 | 从堂弟	从堂兄 | 从堂弟	自己→旁系同輩(分家於第2代)	從堂兄		True	自己→旁系同輩(分家於第2代)	從堂兄		True		從堂兄	一致
118	150	f,f,xb,s,s,s	f,f,xb,s,s,s	F.F.OB.S.S.S	从堂侄	从堂侄 | 三从子	自己→旁系(分家於第2代)→第1代晚輩	從堂姪子 | 從堂姪|三從子		True	自己→旁系(分家於第2代)→第1代晚輩	從堂姪子 | 從堂姪|三從子		True		從堂姪子	可接受簡寫：從堂姪子
119	152	f,f,xb,s,s,s,s	f,f,xb,s,s,s,s	F.F.OB.S.S.S.S	从堂侄孙	从堂侄孙 | 三从孙	自己→旁系(分家於第2代)→第2代晚輩	從堂姪孫子		True	自己→旁系(分家於第2代)→第2代晚輩	從堂姪孫子		True		從堂姪孫子	可接受簡寫：從堂姪孫子
120	154	f,f,xb,s,s,s,s,s	f,f,xb,s,s,s,s,s	F.F.OB.S.S.S.S.S	从堂侄曾孙	从堂侄曾孙 | 三曾孙	自己→旁系(分家於第2代)→第3代晚輩	從堂姪曾孫子		True	自己→旁系(分家於第2代)→第3代晚輩	從堂姪曾孫子		True		從堂姪曾孫子	可接受簡寫：從堂姪曾孫子
121	156	f,f,xb,s,s,s,s,s,s	f,f,xb,s,s,s,s,s,s	F.F.OB.S.S.S.S.S.S	从堂侄玄孙	从堂侄玄孙 | 三玄孙	自己→旁系(分家於第2代)→第4代晚輩	從堂姪玄孫子		True	自己→旁系(分家於第2代)→第4代晚輩	從堂姪玄孫子		True		從堂姪玄孫子	可接受簡寫：從堂姪玄孫子
122	136 | 140 | 144	f,f,xb,s&o,w | f,f,xb,s&l,w | f,f,xb,s,w	f,f,xb,s,w	F.F.OB.S.SP	堂伯母 | 堂婶 | 堂伯叔母	堂伯母 | 堂婶 | 堂伯叔母 | 从母	自己→第2代祖輩(父系)分支→第1代長輩→配偶	堂伯母		True	自己→第2代祖輩(父系)分支→第1代長輩→配偶	堂伯母		True		堂伯母	一致
123	48	f,f,ob,w	f,f,ob,w	F.F.OB.SP	伯婆	伯婆 | 姆婆 | 大奶奶 | 伯娭毑	自己→第2代祖輩(父系入線)→兄弟姐妹(女)→配偶	伯祖母 | 大奶奶|伯奶奶|伯婆|姆婆|伯娭毑		True	自己→第2代祖輩(父系入線)→兄弟姐妹(女)→配偶	伯祖母 | 大奶奶|伯奶奶|伯婆|姆婆|伯娭毑		True		伯祖母	可接受簡寫：伯祖母
124	51	f,f,xs	f,f,xs	F.F.OS	姑奶奶	姑奶奶 | 祖姑 | 姑奶 | 恩婆 | 姑娭毑	自己→第2代祖輩(父系入線)→兄弟姐妹(女)	姑祖母 | 姑奶奶|姑奶|姑婆|恩婆|姑娭毑|祖姑		True	自己→第2代祖輩(父系入線)→兄弟姐妹(女)	姑祖母 | 姑奶奶|姑奶|姑婆|恩婆|姑娭毑|祖姑		True		姑祖母	可接受簡寫：姑祖母
125	53	f,f,xs,h	f,f,xs,h	F.F.OS.SP	姑爷爷	姑爷爷 | 祖姑丈 | 恩爹 | 姑丈公 | 丈公	自己→第2代祖輩(父系入線)→兄弟姐妹(男)→配偶	姑祖父 | 姑爺爺|姑丈公|姑公|恩爹|祖姑丈		True	自己→第2代祖輩(父系入線)→兄弟姐妹(男)→配偶	姑祖父 | 姑爺爺|姑丈公|姑公|恩爹|祖姑丈		True		姑祖父	可接受簡寫：姑祖父
126	49	f,f,lb	f,f,lb	F.F.YB	叔公	叔公 | 叔祖 | 叔翁 | 小爷爷 | 晚公 | 幺爷 | 细嗲	自己→第2代祖輩(父系入線)→兄弟姐妹(男)	叔祖父 | 小爺爺|叔公|小叔公|幺爺|細嗲|叔祖|叔翁		True	自己→第2代祖輩(父系入線)→兄弟姐妹(男)	叔祖父 | 小爺爺|叔公|小叔公|幺爺|細嗲|叔祖|叔翁		True		叔祖父	可接受簡寫：叔祖父
